category,target,api_documentation,delegated_authorization,dnssec_support,source
dns,Akamai Edge DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Alibaba Cloud DNS,Source adapter documentation,Cloud IAM,Not assessed,dnscontrol
dns,Amazon Route 53,Official API documentation,Cloud IAM,Yes,dnscontrol+octodns
dns,AutoDNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Azure DNS,Official API documentation,Cloud IAM,Yes,dnscontrol+octodns
dns,Azure Private DNS,Source adapter documentation,Cloud IAM,Not assessed,dnscontrol
dns,BIND / RFC 2136,Source adapter documentation,TSIG,Not assessed,dnscontrol+octodns
dns,Bunny DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,CentralNic Reseller DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Cloudflare DNS,Official API and Domain Connect documentation,OAuth or API token,Yes,project+dnscontrol+octodns+domain-connect
dns,ClouDNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Constellix DNS,Source plugin documentation,API credentials,Not assessed,octodns
dns,CSC Global DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,deSEC,Official API documentation,API token,Yes,project+dnscontrol
dns,DigitalOcean DNS,Source adapter documentation,OAuth or API token,Not assessed,dnscontrol+octodns
dns,DNS Made Easy,Source adapter and plugin documentation,API credentials,Not assessed,dnscontrol+octodns
dns,DNSimple,Official API documentation,OAuth or API token,Yes,project+dnscontrol+octodns
dns,DNScale,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Domain Chief,Domain Connect implementation documentation,Not assessed,Not assessed,domain-connect
dns,Domainnameshop DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Dyn Managed DNS,Source plugin documentation,API credentials,Not assessed,octodns
dns,EasyDNS,Source plugin documentation,API credentials,Not assessed,octodns
dns,Exoscale DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Gandi LiveDNS,Source adapter and plugin documentation,API credentials,Yes,dnscontrol+octodns
dns,Gcore DNS,Source adapter and plugin documentation,API credentials,Not assessed,dnscontrol+octodns
dns,Gidinet DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Glauca Digital DNS,Domain Connect implementation documentation,Not assessed,Not assessed,domain-connect
dns,GoDaddy DNS,Official API and Domain Connect documentation,OAuth or API credentials,Not assessed,domain-connect
dns,Google Cloud DNS,Official API documentation,Cloud IAM,Yes,dnscontrol+octodns
dns,Hetzner DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,hosting.de DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Huawei Cloud DNS,Source adapter documentation,Cloud IAM,Not assessed,dnscontrol
dns,Hurricane Electric Hosted DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,IBM Cloud DNS,Source adapter documentation,Cloud IAM,Not assessed,dnscontrol
dns,IBM NS1 Connect,Source adapter and plugin documentation,API credentials,Yes,dnscontrol+octodns
dns,Infomaniak DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,INWX DNS,Source adapter documentation,API credentials,Yes,dnscontrol
dns,IONOS DNS,Official API and Domain Connect documentation,API credentials,Not assessed,domain-connect
dns,Joker DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Linode DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Loopia DNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,LuaDNS,Source adapter documentation,API credentials,Not assessed,dnscontrol
dns,Mythic Beasts DNS,Source adapter and plugin documentation,API credentials,Not assessed,dnscontrol+octodns
